Restaurant,Address,Cuisine
Star of Siam,"1136 19th St., NW, Washington DC",Thai 
Star of Siam-2,"2446 18th ST NW, Washington DC",Thai 
Stone Manor,"5820 Carroll Boyer Rd., Middletown, Md.",Modern American
Sushi-Ko,"2309 Wisconsin Ave., NW, Washington DC",Japanese 
Taberna del Alabardero,"1776 I St., NW, Washington DC",Spanish 
Tachibana,"6715 Lowell Ave., McLean, VA",Japanese 
Tako Grill,"7756 Wisconsin Ave., Bethesda, MD",Japanese 
Tara Thai-3,"4001 N. Fairfax Dr., Arlington, VA",Thai 
Tara Thai,"4828 Bethesda Ave., Bethesda, MD",Thai 
Tara Thai-4,"7501 Leesburg Pike, Falls Church, VA",Thai 
Tara Thai-5,"12071 Rockville Pike, Rockville, MD",Thai 
Tara Thai-2,"226 Maple Ave. W., Vienna, VA",Thai 
Taste of Saigon,"410 Hungerford Dr., Rockville, MD",Vietnamese 
Taste of Saigon-2,"8201 Greensboro Dr., McLean, VA",
Tony Cheng's Seafood Restaurant,"619-621 H St., NW, Washington DC",Chinese 
Turning Point Inn,"3406 Urbana Pike, Frederick, MD",Modern American 
Vidalia,"1990 M St., NW, Washington DC",Modern American 
The Vigorelli,"3421 Connecticut Ave., NW, Washington DC",Italian
Woo Lae Oak,"1500 S. Joyce St., Arlington, VA",Korean
Würzburg-Haus,"7236 Muncaster Mill Rd., Rockville, MD",German
